STATION,STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USC00272303,EAST SANDWICH NH US,20160710,0.27,0.0,-9999,61,55,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160711,0.21,0.0,-9999,65,56,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160712,0.00,0.0,-9999,84,52,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160713,0.00,0.0,-9999,87,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160714,0.00,0.0,-9999,90,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160715,1.07,0.0,-9999,84,66,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1
GHCND:USC00272303,EAST SANDWICH NH US,20160716,0.00,0.0,-9999,88,62,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160717,0.55,0.0,-9999,83,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
GHCND:USC00272303,EAST SANDWICH NH US,20160718,0.14,0.0,-9999,83,63,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160719,0.28,0.0,-9999,83,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
GHCND:USC00272303,EAST SANDWICH NH US,20160720,0.00,0.0,-9999,74,52,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20160721,0.00,0.0,-9999,79,52,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
